"year","name","homeless_per_100k"
"2007","Alaska",243.150471937
"2007","Alabama",117.779701407286
"2007","Arkansas",135.943476431916
"2007","Arizona",242.920177186103
"2007","California",385.844980964267
"2007","Colorado",301.350112055636
"2007","Connecticut",127.421491644539
"2007","District of Columbia",932.219576260643
"2007","Delaware",123.477192214769
"2007","Florida",264.595290689322
"2007","Georgia",214.497609333
"2007","Hawaii",463.453945886598
"2007","Iowa",91.6636380339055
"2007","Idaho",119.087418608277
"2007","Illinois",122.485409035385
"2007","Indiana",116.191135206972
"2007","Kansas",76.4043691282917
"2007","Kentucky",191.053410342481
"2007","Louisiana",127.68830480644
"2007","Massachusetts",235.987547121067
"2007","Maryland",171.092448742014
"2007","Maine",199.302065020221
"2007","Michigan",281.932758414365
"2007","Minnesota",141.820896649692
"2007","Missouri",106.919672809028
"2007","Mississippi",47.4013916800747
"2007","Montana",120.710575925903
"2007","North Carolina",132.349923238839
"2007","North Dakota",97.9332390956882
"2007","Nebraska",199.188466361632
"2007","New Hampshire",171.81434573357
"2007","New Jersey",199.891960900421
"2007","New Mexico",153.658995268934
"2007","Nevada",342.575172694832
"2007","New York",NA
"2007","Ohio",98.1081005987782
"2007","Oklahoma",117.442801933174
"2007","Oregon",479.176263585628
"2007","Pennsylvania",129.647890875802
"2007","Rhode Island",129.05701836899
"2007","South Carolina",129.880649779582
"2007","South Dakota",73.9432437713353
"2007","Tennessee",184.109555203797
"2007","Texas",170.328404877142
"2007","Utah",119.223585600832
"2007","Virginia",127.004811874285
"2007","Vermont",166.160425884423
"2007","Washington",366.973888329998
"2007","Wisconsin",101.261193099968
"2007","West Virginia",131.789714165671
"2007","Wyoming",102.742281414361
"2008","Alaska",241.952079964721
"2008","Alabama",115.283211066503
"2008","Arkansas",114.26465167711
"2008","Arizona",202.474803739039
"2008","California",376.634010119251
"2008","Colorado",306.98179050715
"2008","Connecticut",131.177936477786
"2008","District of Columbia",1052.22108481139
"2008","Delaware",107.026219703149
"2008","Florida",273.075084160676
"2008","Georgia",204.224861037255
"2008","Hawaii",460.676078818857
"2008","Iowa",111.56263711935
"2008","Idaho",97.2689613017032
"2008","Illinois",115.97475902786
"2008","Indiana",115.916376562226
"2008","Kansas",62.4329824321921
"2008","Kentucky",191.15872681757
"2008","Louisiana",125.263365025125
